dist,pow,lum
0,0,0
0,0.1,59.8
0,0.2,120.2
0,0.3,178
0,0.4,227.6
0,0.5,268.7
0,0.6,304.8
0,0.7,337.9
0,0.8,367.7
0,0.9,394.8
0,1,419.3
0,1.1,441.7
0,1.2,461.8
0,1.3,480.5
0,1.4,497.1
0,1.5,512
0,1.6,525.6
0,1.7,538.7
0,1.8,551.1
0,1.9,563
0.001,0,0
0.001,0.1,34.8
0.001,0.2,70.4
0.001,0.3,105.7
0.001,0.4,139.9
0.001,0.5,171.6
0.001,0.6,199.4
0.001,0.7,224.6
0.001,0.8,248
0.001,0.9,270.2
0.001,1,291.5
0.001,1.1,311.7
0.001,1.2,331
0.001,1.3,349.3
0.001,1.4,366.2
0.001,1.5,382.2
0.001,1.6,396.9
0.001,1.7,410.6
0.001,1.8,423.5
0.001,1.9,435.2
0.002,0,0
0.002,0.1,23.7
0.002,0.2,48
0.002,0.3,72.3
0.002,0.4,96.4
0.002,0.5,119.9
0.002,0.6,142.4
0.002,0.7,163.1
0.002,0.8,182
0.002,0.9,199.8
0.002,1,216.6
0.002,1.1,232.8
0.002,1.2,248.7
0.002,1.3,263.9
0.002,1.4,278.7
0.002,1.5,293.1
0.002,1.6,307
0.002,1.7,320.4
0.002,1.8,333.2
0.002,1.9,345.3
0.003,0,0
0.003,0.1,17.5
0.003,0.2,35.5
0.003,0.3,53.4
0.003,0.4,71.3
0.003,0.5,89.1
0.003,0.6,106.5
0.003,0.7,123.5
0.003,0.8,139.6
0.003,0.9,154.5
0.003,1,168.5
0.003,1.1,182
0.003,1.2,194.9
0.003,1.3,207.5
0.003,1.4,219.8
0.003,1.5,231.8
0.003,1.6,243.6
0.003,1.7,255
0.003,1.8,266.2
0.003,1.9,277.1
0.004,0,0
0.004,0.1,13.6
0.004,0.2,27.4
0.004,0.3,41.4
0.004,0.4,55.3
0.004,0.5,69.1
0.004,0.6,82.9
0.004,0.7,96.4
0.004,0.8,109.7
0.004,0.9,122.5
0.004,1,134.7
0.004,1.1,146.1
0.004,1.2,157.1
0.004,1.3,167.7
0.004,1.4,178
0.004,1.5,188.1
0.004,1.6,198
0.004,1.7,207.7
0.004,1.8,217.3
0.004,1.9,226.6
0.005,0,0
0.005,0.1,10.9
0.005,0.2,22
0.005,0.3,33.2
0.005,0.4,44.4
0.005,0.5,55.5
0.005,0.6,66.7
0.005,0.7,77.7
0.005,0.8,88.6
0.005,0.9,99.4
0.005,1,109.9
0.005,1.1,120
0.005,1.2,129.5
0.005,1.3,138.7
0.005,1.4,147.7
0.005,1.5,156.3
0.005,1.6,164.8
